year,name,ret,country
2024,Georgia,0.002173913,268
2021,Philippines,0.002164706,608
2011,Botswana,0.002114165,72
2004,Ethiopia,0.002109705,231
2024,Yemen,0.00209205,887
2012,Malaysia,0.002037382,458
2016,Albania,0.002024291,8
2019,Guatemala,0.002016129,320
2022,United Arab Emirates,0.002010767,784
2022,Iran,0.002004008,364
2022,Malta,0.00199071,470
2023,Kosovo,0.001970443,
2020,Jamaica,0.001949318,388
2024,Ethiopia,0.00194704,231
2023,Ghana,0.001940099,288
2024,Malta,0.001934236,470
2017,Oman,0.00192864,512
2013,Libya,0.001923077,434
2014,Myanmar (formerly Burma),0.001923077,104
2023,Malaysia,0.00191922,458
2021,Burundi,0.001915709,108
2020,Armenia,0.001909612,51
2018,Kyrgyzstan,0.001908397,417
2019,Trinidad & Tobago,0.001904762,780
2015,Bahrain,0.001890359,48
2019,Democratic Republic of the Congo,0.001886792,180
2010,Jordan,0.001857873,400
2019,Madagascar,0.001851852,450
2014,Oman,0.001846154,512
2020,China,0.001841083,156
2018,Romania,0.001837838,642
2024,Afghanistan,0.001831502,4
2022,Jordan,0.001826923,400
2019,Bahrain,0.001798561,48
2016,Iran,0.001792115,364
2014,Libya,0.001769912,434
2016,Iceland,0.001762632,352
2013,Azerbaijan,0.001755926,31
2021,Kuwait,0.001749781,414
2021,Panama,0.001738123,591
2016,Montenegro,0.001733102,499
2016,Singapore,0.00172834,702
2010,Taiwan,0.001724957,158
2020,Greece,0.001724408,300
2017,Romania,0.001723084,642
2015,Pakistan,0.00171904,586
2012,Palestine,0.001718213,275
2018,Algeria,0.001711403,12
2013,Saudi Arabia,0.001697073,682
2019,Venezuela,0.001685204,862
2014,Burkina Faso,0.001683502,854
2014,Azerbaijan,0.001682086,31
2011,Uganda,0.001670844,800
2023,Bangladesh,0.001668015,50
2022,Angola,0.001663894,24
2022,Anguilla,0.001663894,660
2018,Syria,0.001623377,760
2023,Kuwait,0.001621622,414
2023,Bahrain,0.001616379,48
2022,Malaysia,0.001608428,458
2022,Democratic Republic of the Congo,0.001603421,180
2022,Mali,0.0016,466
2016,Belarus,0.001587932,112
2014,Taiwan,0.001583949,158
2018,Iraq,0.001579632,368
2023,Thailand,0.001570783,764
2017,Armenia,0.001569859,51
2020,Democratic Republic of the Congo,0.001558846,180
2019,Pakistan,0.001542714,586
2016,Myanmar (formerly Burma),0.001533742,104
2023,Philippines,0.001531505,608
2020,Tunisia,0.001526873,788
2010,Saudi Arabia,0.0015231,682
2016,Kosovo,0.001519757,
2020,Iran,0.001514896,364
2010,Serbia,0.001511335,688
2021,Trinidad & Tobago,0.00149925,780
2011,Iraq,0.001498501,368
2023,Brunei,0.001495886,96
2023,South Korea,0.001477931,410
2010,Macedonia,0.001472754,807
2019,Montenegro,0.001466276,499
2016,Serbia,0.001465604,688
2023,Rwanda,0.001464129,646
2019,Serbia,0.001457136,688
2015,Algeria,0.001449801,12
2024,Egypt,0.001446954,818
2019,Iran,0.001446776,364
2016,Macau,0.001445087,446
2018,Iran,0.001438974,364
2022,Togo,0.00143472,768
2009,Armenia,0.001432665,51
2012,Zimbabwe,0.001430615,716
2017,Nepal,0.001428571,524
2022,Iraq,0.00141995,368
2018,Serbia,0.001419572,688
2022,Honduras,0.00141844,340
2022,Kuwait,0.001412828,414
2010,Kazakhstan,0.001412429,398
2023,India,0.001403193,356
2007,Ghana,0.001398601,288
2005,Pakistan,0.001391304,586
2015,Guatemala,0.001390821,320
2014,Qatar,0.001368363,634
2022,Namibia,0.001367989,516
2022,Niger,0.001367989,562
2014,Kuwait,0.001365188,414
2020,Bahrain,0.001359619,48
2021,Iran,0.001351193,364
2012,Sudan,0.001349528,736
2022,Sudan,0.001347255,736
2015,Serbia,0.001342926,688
2006,Nepal,0.001342282,524
2018,Georgia,0.001337793,268
2019,Republic of the Congo (Congo-Brazzaville),0.001329787,178
2018,Mali,0.001315789,466
2007,Iraq,0.001310616,368
2022,Ethiopia,0.001294126,231
2023,Vietnam,0.001293919,704
2011,Pakistan,0.001285843,586
2017,Botswana,0.00128041,72
2015,Iceland,0.001271456,352
2016,Sri Lanka,0.001270648,144
2019,Saudi Arabia,0.001269502,682
2016,Romania,0.00126164,642
2018,Tunisia,0.001257598,788
2020,Dominican Republic,0.001254705,214
2019,Croatia,0.001252572,191
2019,Kyrgyzstan,0.00124533,417
2020,Tajikistan,0.00124533,762
2020,Montenegro,0.001240695,499
2019,Syria,0.001239157,760
2016,Cambodia,0.001219512,116
2019,Bangladesh,0.001213776,50
2013,Iran,0.001210134,364
2022,Libya,0.001207729,434
2009,Georgia,0.001196172,268
2009,United Arab Emirates,0.001191895,784
2010,Cameroon,0.001191895,120
2019,Uzbekistan,0.001191895,860
2013,Japan,0.00118735,392
2014,Algeria,0.001185536,12
2018,Saudi Arabia,0.001182173,682
2022,Hungary,0.001179477,348
2014,Yemen,0.001179245,887
2015,Tajikistan,0.001179245,762
2023,Senegal,0.001179245,686
2022,Georgia,0.001177394,268
2022,Czech Republic,0.001168305,203
2019,Kosovo,0.001164144,
2004,Indonesia,0.001158301,360
2016,Pakistan,0.001154734,586
2015,Kuwait,0.001152074,414
2020,Serbia,0.001151316,688
2023,Republic of the Congo (Congo-Brazzaville),0.001138952,178
2009,China,0.001138424,156
2021,Montenegro,0.001137656,499
2018,Myanmar (formerly Burma),0.001136364,104
2022,Japan,0.001131651,392
2017,Iraq,0.001130085,368
2014,Cameroon,0.001129305,120
2011,Taiwan,0.0011261,158
2012,United Arab Emirates,0.001125704,784
2010,Vietnam,0.001124016,704
2020,Peru,0.001121579,604
2004,Serbia,0.001121076,688
2020,Pakistan,0.001119988,586
2022,Mongolia,0.00111276,496
2021,Saudi Arabia,0.001111588,682
2022,Greece,0.001108727,300
2015,Iran,0.001101475,364
2023,United Arab Emirates,0.001100556,784
2011,Azerbaijan,0.001096491,31
2023,Nepal,0.001096251,524
2014,Tunisia,0.001086219,788
2014,Uganda,0.001082837,800
2022,Myanmar (formerly Burma),0.001082251,104
2013,Egypt,0.001080405,818
2021,India,0.001079744,356
2012,Iran,0.001073761,364
2016,Malta,0.001070664,470
2016,Saudi Arabia,0.00106684,682
2010,India,0.001065714,356
2022,Azerbaijan,0.001062135,31
2023,Belarus,0.001060164,112
2017,Belarus,0.00105671,112
2021,Pakistan,0.001055259,586
2023,Tunisia,0.001050788,788
2015,Egypt,0.001048081,818
2020,Colombia,0.001040691,170
2009,Egypt,0.001039285,818
2018,Pakistan,0.001034443,586
2016,Egypt,0.001034394,818
2014,Tanzania,0.001027221,834
2020,Botswana,0.001022495,72
2015,Qatar,0.001020148,634
2022,Cambodia,0.001019888,116
2009,Saudi Arabia,0.001019108,682
2012,Georgia,0.00101626,268
2022,Slovakia,0.001013274,703
2022,Vietnam,0.001011378,704
2019,Malawi,0.001011122,454
2011,Qatar,0.001009082,634
2020,Saudi Arabia,0.001005592,682
2008,Saudi Arabia,0.000999334,682
2023,Botswana,0.000997009,72
2012,Tunisia,0.000993213,788
2021,Ethiopia,0.000990426,231
2018,Lebanon,0.000980633,422
2011,Iran,0.000979924,364
2012,Japan,0.000977216,392
2012,Romania,0.000976563,642
2013,Albania,0.000972763,8
2011,Egypt,0.000971109,818
2018,India,0.000969464,356
2018,Belarus,0.000968054,112
2018,Italy,0.000967826,380
2017,Taiwan,0.00096573,158
2018,Thailand,0.000965545,764
2009,Tanzania,0.000965251,834
2019,China,0.00095888,156
2019,Qatar,0.000957488,634
2016,Oman,0.00095648,512
2014,Morocco,0.000955262,504
2020,Kyrgyzstan,0.00095511,417
2012,Kazakhstan,0.000948767,398
2021,Zimbabwe,0.000944287,716
2013,Georgia,0.00094162,268
2022,Bosnia & Herzegovina,0.000941029,70
2016,China,0.000940726,156
2021,Russia,0.000935503,643
2021,Brunei,0.000932836,96
2010,Ethiopia,0.000917431,231
2011,Philippines,0.00091617,608
2016,Taiwan,0.00090799,158
2021,Egypt,0.000906182,818
2011,Jordan,0.000905797,400
2015,Thailand,0.000905387,764
2016,Cote d'Ivoire,0.000902527,384
2019,India,0.000902454,356
2011,Oman,0.000901713,512
2017,Iran,0.000901077,364
2017,Israel,0.000897474,376
2016,India,0.000896072,356
2009,Pakistan,0.000895095,586
2022,Afghanistan,0.000894454,4
2020,Azerbaijan,0.000893389,31
2017,China,0.000890405,156
2011,Germany,0.000889714,276
2012,Pakistan,0.000884467,586
2015,Singapore,0.000884297,702
2011,India,0.000882673,356
2014,Cyprus,0.000881057,196
2013,India,0.000880599,356
2020,Sudan,0.000870322,736
2020,Hong Kong,0.000870028,344
2014,Jordan,0.000864304,400
2016,Nigeria,0.000863878,566
2017,Saudi Arabia,0.000858185,682
2019,Malta,0.000854701,470
2014,Ireland,0.000853728,372
2014,Georgia,0.000853242,268
2014,Albania,0.00085034,8
2009,Iran,0.000848752,364
2019,Japan,0.000846588,392
2015,Belarus,0.000846382,112
2023,Taiwan,0.000845309,158
2021,Sri Lanka,0.00084507,144
2009,South Africa,0.000843882,710
2020,India,0.000843713,356
2011,Kuwait,0.000841751,414
2021,Serbia,0.000839887,688
2018,Oman,0.000839278,512
2020,Egypt,0.000839215,818
2011,United Arab Emirates,0.00083612,784
2008,India,0.000835232,356
2015,Jordan,0.000833565,400
2017,Algeria,0.000831082,12
2012,India,0.000829258,356
2020,Venezuela,0.000828958,862
2018,Azerbaijan,0.000828844,31
2012,Egypt,0.000827757,818
2013,Armenia,0.000821018,51
2006,Lebanon,0.000818331,422
2012,South Korea,0.000816148,410
2012,Netherlands,0.000815494,528
2015,Georgia,0.000814332,268
2016,Ireland,0.000813619,372
2020,Philippines,0.000807754,608
2016,Hong Kong,0.00080155,344
2012,Turkey,0.000800526,792
2017,South Korea,0.000794842,410
2022,Yemen,0.000794597,887
2021,Venezuela,0.000794492,862
2016,Armenia,0.000793021,51
2014,Egypt,0.000792079,818
2008,Uruguay,0.000791139,858
2022,France,0.000790772,250
2022,Lebanon,0.000786782,422
2022,Italy,0.000785215,380
2021,South Korea,0.000783487,410
2020,Jordan,0.000780742,400
2024,Pakistan,0.000777994,586
2011,Mongolia,0.000777001,496
2021,Taiwan,0.000776934,158
2007,Saudi Arabia,0.000776699,682
2018,Armenia,0.000773395,51
2018,Moldova,0.00077101,498
2018,Japan,0.000765825,392
2020,Kazakhstan,0.000761228,398
2014,Lebanon,0.000761035,422
2011,Tunisia,0.000756716,788
2007,Pakistan,0.000756048,586
2015,China,0.000755785,156
2020,Lebanon,0.000755715,422
2023,Lebanon,0.000755287,422
2015,India,0.000755151,356
2024,Hungary,0.000754945,348
2014,Saudi Arabia,0.000752968,682
2015,Saudi Arabia,0.000750338,682
2018,China,0.00074959,156
2023,Singapore,0.000749572,702
2020,South Korea,0.000748984,410
2021,Kenya,0.000748503,404
2008,Lebanon,0.000747384,422
2023,Malawi,0.000746269,454
2018,South Korea,0.00074173,410
2009,South Korea,0.000741402,410
2017,Tunisia,0.000740506,788
2020,Libya,0.000739645,434
2018,Ireland,0.000738888,372
2017,Serbia,0.000738144,688
2007,Jordan,0.000738007,400
2023,Georgia,0.000738007,268
2022,South Korea,0.00073783,410
2019,Ghana,0.000737191,288
2018,Egypt,0.000735597,818
2006,Norway,0.000733003,578
2019,Kuwait,0.000732064,414
2009,India,0.000727441,356
2022,Spain,0.000725295,724
2019,Yemen,0.000724638,887
2015,Bolivia,0.000724113,68
2018,Cameroon,0.000721241,120
2022,Philippines,0.00071977,608
2012,Saudi Arabia,0.00071794,682
2011,Nepal,0.000714286,524
2015,Lebanon,0.000714286,422
2015,Bangladesh,0.000713267,50
2013,Iceland,0.000712758,352
2009,Tunisia,0.000711744,788
2020,United Kingdom,0.000711547,826
2023,Japan,0.000710681,392
2014,Nepal,0.000706464,524
2022,Guatemala,0.000706215,320
2022,Belgium,0.000705893,56
2022,Burkina Faso,0.000705219,854
2020,Vietnam,0.000705006,704
2016,Australia,0.000704447,36
2017,Pakistan,0.000700738,586
2020,Netherlands,0.000700566,528
2022,Qatar,0.000696767,634
2013,Kuwait,0.00069541,414
2008,United Arab Emirates,0.000691085,784
2019,Moldova,0.000691085,498
2021,Macau,0.000690926,446
2020,Singapore,0.000687609,702
2022,Ireland,0.000687537,372
2022,Tunisia,0.000687049,788
2010,Czech Republic,0.000683103,203
2014,Iran,0.000682792,364
2012,Morocco,0.000682749,504
2013,Singapore,0.000680913,702
2022,Bangladesh,0.000680272,50
2021,Uzbekistan,0.000677335,860
2019,Armenia,0.000676133,51
2015,United Arab Emirates,0.000673552,784
2012,Singapore,0.000673325,702
2010,Lebanon,0.000672043,422
2022,Taiwan,0.000671014,158
2009,Malaysia,0.000665779,458
2020,Bangladesh,0.000665296,50
2016,Cyprus,0.000664452,196
2019,Tunisia,0.000661011,788
2022,Portugal,0.000660874,620
2022,Ghana,0.000660139,288
2008,Pakistan,0.000659631,586
2019,Israel,0.000659579,376
2010,Tunisia,0.000658762,788
2022,Israel,0.000654379,376
2010,Peru,0.000653168,604
2017,India,0.000651744,356
2011,Malaysia,0.000649632,458
2008,Puerto Rico,0.000649351,630
2023,Syria,0.000648088,760
2021,Albania,0.000647668,8
2013,Taiwan,0.000647293,158
2013,Uganda,0.000645578,800
2011,South Korea,0.000644667,410
2021,Cyprus,0.000644641,196
2019,Egypt,0.000642971,818
2013,South Korea,0.000640572,410
2016,Lebanon,0.00064041,422
2022,Serbia,0.000640051,688
2016,Nepal,0.000639386,524
2013,Pakistan,0.000637349,586
2008,Jordan,0.000636132,400
2013,China,0.000635351,156
2020,United Arab Emirates,0.00063446,784
2019,Italy,0.00063244,380
2021,Greece,0.000628997,300
2016,Qatar,0.000627746,634
2023,Libya,0.000627746,434
2014,Germany,0.000625049,276
2011,Vietnam,0.00062054,704
2020,Japan,0.00061963,392
2020,United States,0.000619611,840
2019,Ethiopia,0.000619195,231
2012,Algeria,0.000618047,12
2014,India,0.000617747,356
2016,Malaysia,0.000616823,458
2013,Kazakhstan,0.000615764,398
2022,Russia,0.000614479,643
2020,Oman,0.000609013,512
2022,Belarus,0.000608273,112
2022,Algeria,0.00060785,12
2020,Palestine,0.000607533,275
2009,Kenya,0.00060241,404
2017,Ethiopia,0.000602168,231
2020,Mozambique,0.000602047,508
2005,Algeria,0.000601685,12
2016,Macedonia,0.000601685,807
2006,Serbia,0.00060024,688
2022,Croatia,0.000600034,191
2017,Italy,0.000600028,380
2024,Kuwait,0.00059952,414
2019,Greece,0.000599161,300
2006,Egypt,0.000598713,818
2015,South Korea,0.000596684,410
2010,Singapore,0.000596501,702
2021,Vietnam,0.00059456,704
2023,Bolivia,0.00059453,68
2013,Thailand,0.000594045,764
2022,United States,0.000593498,840
2020,France,0.000593128,250
2015,Azerbaijan,0.000591716,31
2022,Canada,0.000591578,124
2016,Thailand,0.000590354,764
2022,Uzbekistan,0.000590029,860
2009,Thailand,0.000589414,764
2021,Jordan,0.000587959,400
2016,Greece,0.000587199,300
2015,United Kingdom,0.000586568,826
2018,Sweden,0.000586459,752
2013,Morocco,0.00058434,504
2012,Puerto Rico,0.000583771,630
2020,Senegal,0.000583431,686
2021,Cambodia,0.000582751,116
2012,Ghana,0.000581395,288
2020,Luxembourg,0.000580552,442
2013,Netherlands,0.000578573,528
2007,Bangladesh,0.000577034,50
2017,Venezuela,0.000575209,862
2023,Uzbekistan,0.000571102,860
2012,Bangladesh,0.000569801,50
2015,United States,0.000568388,840
2021,Senegal,0.000567859,686
2021,Australia,0.000567015,36
2021,Iraq,0.000566943,368
2018,Sudan,0.000566251,736
2018,Jordan,0.000564865,400
2014,Bulgaria,0.000559806,100
2011,Singapore,0.000558036,702
2010,Indonesia,0.000557984,360
2009,Jordan,0.000557724,400
2022,Australia,0.000557126,36
2011,Lebanon,0.000557103,422
2022,Norway,0.000557012,578
2021,Paraguay,0.000554324,600
2021,Bahrain,0.000554017,48
2022,Benin,0.00055371,204
2020,Moldova,0.000553403,498
2015,Switzerland,0.000553347,756
2021,Qatar,0.000553021,634
2020,Germany,0.000552909,276
2020,Ethiopia,0.000551724,231
2012,Lithuania,0.000551572,440
2021,Colombia,0.00055142,170
2010,New Zealand,0.000551398,554
2016,United States,0.00055118,840
2018,United Arab Emirates,0.000550888,784
2013,Turkey,0.000550753,792
2011,Nigeria,0.000549753,566
2014,Italy,0.000549687,380
2022,Poland,0.000548776,616
2016,Ethiopia,0.000548396,231
2016,Ghana,0.000547495,288
2023,Australia,0.000546102,36
2022,Morocco,0.000545703,504
2022,Germany,0.000545608,276
2015,Bosnia & Herzegovina,0.000544959,70
2018,Taiwan,0.000544874,158
2018,Bangladesh,0.00054402,50
2006,South Korea,0.000543429,410
2020,Israel,0.000542947,376
2013,Malaysia,0.000542236,458
2021,South Africa,0.000541866,710
2018,Iceland,0.000541126,352
2021,Kazakhstan,0.000540073,398
2016,Slovenia,0.000539229,705
2018,United States,0.000538891,840
2018,South Africa,0.000538696,710
2017,Ireland,0.00053757,372
2019,Malaysia,0.000536577,458
2020,Malaysia,0.000536325,458
2009,Turkey,0.000535865,792
2010,South Korea,0.000534188,410
2022,Macau,0.000533903,446
2022,Denmark,0.000532064,208
2010,Hungary,0.000532028,348
2019,United States,0.000531091,840
2018,Israel,0.00052951,376
2015,Luxembourg,0.000529241,442
2010,Turkey,0.00052776,792
2015,Vietnam,0.000527148,704
2016,Kuwait,0.000527148,414
2021,United States,0.000526102,840
2011,Sri Lanka,0.00052521,144
2007,Iran,0.000523834,364
2022,Cote d'Ivoire,0.000523834,384
2018,United Kingdom,0.00052306,826
2013,Greece,0.000522493,300
2017,Azerbaijan,0.000522466,31
2009,Singapore,0.00052196,702
2016,United Kingdom,0.000521853,826
2010,Kenya,0.000521648,404
2011,Algeria,0.000521376,12
2016,South Africa,0.000521338,710
2018,Cyprus,0.000520833,196
2008,Thailand,0.000518336,764
2018,Ethiopia,0.000517509,231
2014,Kenya,0.000517197,404
2013,Czech Republic,0.000516966,203
2012,Cyprus,0.000516796,196
2022,Zambia,0.000516529,894
2020,Sweden,0.000515924,752
2010,Luxembourg,0.000511247,442
2017,Malaysia,0.000510914,458
2021,Uganda,0.000510204,800
2016,Jordan,0.000509295,400
2022,United Kingdom,0.000507573,826
2011,Japan,0.00050649,392
2019,South Korea,0.000505873,410
2020,Nepal,0.000504668,524
2022,Colombia,0.000503271,170
2020,Thailand,0.000502375,764
2022,Switzerland,0.000501748,756
2015,Denmark,0.00050141,208
2016,Japan,0.000500779,392
2012,Lebanon,0.00049776,422
2011,Hong Kong,0.000497595,344
2014,Nigeria,0.000496947,566
2020,Uzbekistan,0.000496936,860
2008,Greece,0.000496617,300
2024,China,0.000495286,156
2023,United States,0.000494961,840
2017,United Arab Emirates,0.000494478,784
2011,Netherlands,0.000494406,528
2011,United Kingdom,0.000494252,826
2022,Finland,0.000493434,246
2020,Uruguay,0.000492005,858
2021,Romania,0.000491481,642
2004,Thailand,0.000490557,764
2016,Canada,0.000488427,124
2005,Saudi Arabia,0.000487805,682
2016,Italy,0.000487571,380
2014,Japan,0.000487023,392
2022,Mozambique,0.000486381,508
2016,South Korea,0.000485029,410
2015,Kenya,0.000484496,404
2015,Turkey,0.000484496,792
2021,Malaysia,0.000482961,458
2020,New Zealand,0.000482649,554
2019,Denmark,0.000482502,208
2017,Egypt,0.000482426,818
2016,Finland,0.000481843,246
2022,Latvia,0.00048158,428
2015,Australia,0.000481095,36
2011,Australia,0.000481088,36
2011,Latvia,0.000480538,428
2022,Sweden,0.000479923,752
2022,Palestine,0.000479386,275
2021,Bolivia,0.000478927,68
2019,Iceland,0.000478469,352
2012,Nepal,0.000475511,524
2015,Ireland,0.000474769,372
2015,Morocco,0.000474759,504
2024,Tunisia,0.000474496,788
2018,Spain,0.00047438,724
2012,Serbia,0.000471642,688
2014,Pakistan,0.000471254,586
2014,Romania,0.000469539,642
2013,Romania,0.000469484,642
2018,France,0.000469337,250
2015,Israel,0.000469175,376
2022,Netherlands,0.000468372,528
2019,Jordan,0.000468238,400
2017,Sweden,0.00046805,752
2014,Denmark,0.000467617,208
2013,Ethiopia,0.000467071,231
2021,Canada,0.000466245,124
2015,Netherlands,0.000466164,528
2010,Belarus,0.000465766,112
2010,Philippines,0.000465766,608
2014,Thailand,0.000465704,764
2023,Cyprus,0.000464684,196
2019,Switzerland,0.000464543,756
2022,Zimbabwe,0.000464253,716
2015,Malaysia,0.000464145,458
2021,Germany,0.000464088,276
2010,Australia,0.000463913,36
2012,Nigeria,0.000462481,566
2014,Greece,0.000461255,300
2023,Serbia,0.000459728,688
2007,India,0.000459597,356
2023,Italy,0.000459207,380
2019,United Kingdom,0.000458792,826
2023,Palestine,0.000458505,275
2010,Egypt,0.000456913,818
2013,Serbia,0.000456725,688
2023,Kenya,0.000456621,404
2010,United Kingdom,0.000455386,826
2022,Nepal,0.00045527,524
2013,Portugal,0.000454821,620
2021,Bangladesh,0.000454614,50
2019,Sweden,0.000453384,752
2019,Canada,0.000451999,124
2013,Vietnam,0.000451977,704
2016,Cameroon,0.000451467,120
2005,Tunisia,0.000448029,788
2014,South Korea,0.000447603,410
2011,Canada,0.000446782,124
2014,Sweden,0.00044624,752
2011,Romania,0.000446229,642
2017,Japan,0.000445959,392
2020,Canada,0.000445766,124
2019,Belarus,0.000444346,112
2022,Thailand,0.000443492,764
2020,Italy,0.000443453,380
2020,Switzerland,0.000443204,756
2018,Switzerland,0.000443082,756
2020,Taiwan,0.000442622,158
2021,Italy,0.000441966,380
2019,Portugal,0.000441757,620
2021,Estonia,0.000440626,233
2017,Turkey,0.000438493,792
2017,United States,0.00043811,840
2024,Poland,0.000437694,616
2007,Hong Kong,0.000437397,344
2016,Sweden,0.00043576,752
2022,Cameroon,0.00043554,120
2014,Malaysia,0.000434914,458
2021,Tunisia,0.000434405,788
2012,Sri Lanka,0.0004329,144
2021,Cameroon,0.000431034,120
2021,Yemen,0.000431034,887
2013,Tunisia,0.000430725,788
2019,Norway,0.000428908,578
2022,Romania,0.000428247,642
2006,Greece,0.000428113,300
2022,Iceland,0.00042735,352
2023,Qatar,0.000426439,634
2019,New Zealand,0.000426371,554
2021,Turkey,0.000426329,792
2021,United Kingdom,0.000426001,826
2016,Bangladesh,0.00042508,50
2014,Netherlands,0.000425023,528
2017,Slovakia,0.000424268,703
2014,Uruguay,0.000424088,858
2023,Iceland,0.000423908,352
2016,New Zealand,0.000422884,554
2012,China,0.0004225,156
2017,Bosnia & Herzegovina,0.000422297,70
2020,Australia,0.000420946,36
2011,Luxembourg,0.000418936,442
2020,Spain,0.000418734,724
2015,Japan,0.000418389,392
2018,Singapore,0.000418078,702
2015,Canada,0.000418074,124
2013,Sweden,0.000417145,752
2017,Switzerland,0.000416335,756
2013,Latvia,0.000415628,428
2021,Netherlands,0.000415465,528
2017,Tanzania,0.000415455,834
2006,Iran,0.000414938,364
2022,Turkey,0.00041345,792
2015,Romania,0.000412669,642
2015,Norway,0.000412447,578
2011,Turkey,0.000412253,792
2014,Czech Republic,0.000412252,203
2014,Turkey,0.000412139,792
2016,Spain,0.000411858,724
2023,Colombia,0.000411828,170
2020,Denmark,0.000411523,208
2023,Mongolia,0.000411015,496
2007,Norway,0.00040987,578
2014,Ecuador,0.000409836,218
2008,South Korea,0.000408702,410
2021,Japan,0.000408086,392
